Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-02,rc11,Comedy,512.0,542.0,30,3,4,1,-0.06031838726084152,-0.06467906093481113,-0.1409994302871712,-0.08624224676123216,-0.06347844462860643,0.21570451703440313,-0.06052496596617155,-0.09631944799493808,0.14377432319678657
sub-02,uc1,Comedy,560.0,590.0,30,3,3,2,0.050580446772435804,0.03106503886636792,0.06053276474782948,-0.1335449644945101,-0.02528656703453499,-0.1707299443822617,0.036806906880558724,0.08783151822103637,0.08781438839725646
sub-02,rh11,Horror,608.0,638.0,30,4,2,4,0.2717029353010599,0.15042339536153698,0.297277213411686,0.012478183055274667,0.05798797591847852,0.07224682423210313,0.1400166802668672,0.1713227378939689,-0.14183208782059872
sub-02,rc12,Comedy,656.0,686.0,30,3,3,1,-0.1161651957316073,-0.10220888606320926,-0.0023989779665280152,0.007861700896681567,-0.08579389270951832,-0.038055699489655904,-0.014621062536497375,-0.21438208367019845,0.25728532480263255
sub-02,rc5,Comedy,700.0,730.0,30,2,3,1,-0.0641602283037728,0.11820346184777301,-0.08593170092313918,-0.10361800254950679,-0.15634939771862705,-0.1364099559220561,-0.10251781567119522,-0.15790866144200189,-0.05577644232708552
sub-02,rc3,Comedy,12.0,42.0,30,3,4,2,0.04535162011443043,-0.014836922065399383,-0.03744918773475916,-0.3269401063584583,-0.2651855026134289,-0.049318646407073057,0.054352971101355875,0.11147960776970492,0.2874234677495763
sub-02,rh12,Horror,60.0,90.0,30,4,2,4,-0.02868928091121588,-0.09461334509796586,-0.08174118449908965,-0.16428878763582352,-0.1856649427044132,-0.24901715513370273,0.08591099132391675,0.3395119156925491,0.1817664469454999
sub-02,rc1,Comedy,108.0,138.0,30,3,3,2,-0.30771565960703307,-0.25935190146232934,-0.31981470664698863,-0.2528254937019626,-0.2822330988491345,-0.11658066266074715,0.013538587754642301,-0.33804279203968096,-0.03965798306132419
sub-02,rh7,Horror,152.0,182.0,30,4,1,4,0.010767531374107981,0.04934171026552414,-0.040878493710474216,-0.1223879021035825,0.15113965652860464,-0.09748253586723035,-0.025913457804244876,-0.004293722447211399,0.11336037583038058
sub-02,rc8,Comedy,200.0,230.0,30,3,4,2,0.31380010628220795,0.16185135694420888,0.4833924818371515,0.08653340815866774,0.06329498697397569,0.2765954096999127,-0.28287952433021324,-0.204735128646976,-0.233781979067188
